name,url,group,country,language,quality,category,tags
2x2_english,https://rhine.webchnl.live/memfs/be88c390-19d4-4362-aaf9-a2eb6a3f758c.m3u8,Entertainment,,English,,Entertainment,"indie,internet"
Boomerang Reborn,https://rhine.webchnl.live/memfs/0a6adc63-1ea7-49f1-9de1-1a81ad597e72.m3u8,Kids,,English,,Kids,"cartoons,kids"
Cartoon Network DoneBetter,https://rhine.webchnl.live/memfs/df872e66-4bfe-4cc8-9b47-7d617ac6ad8b.m3u8,Kids,,English,,Kids,"cartoons,kids"
Cartoon Network Extras,https://rhine.webchnl.live/memfs/53fec556-2421-48ac-9b8a-203f48ae1ca1.m3u8,Kids,,English,,Kids,"cartoons,kids"
Cartoon Network Multi,https://rhine.webchnl.live/memfs/55263779-40ab-45c9-ac64-636ff0963419.m3u8,Kids,,English,,Kids,"cartoons,kids"
Chroma,https://rhine.webchnl.live/memfs/cdb5b0cd-2a64-4b76-a1af-91fb8176df21.m3u8,Entertainment,,English,,Entertainment,"indie,internet"
MRSAT,https://rhine.webchnl.live/memfs/9eb075a9-0682-41ce-846d-8cc714a8f4fc.m3u8,Entertainment,,,,Entertainment,"indie,internet"
chnl.testing,https://rhine.webchnl.live/memfs/e1a5f114-bbb9-488a-8016-3b763b564ec2.m3u8,Entertainment,,,,Entertainment,test
CrossRift,https://rhine.webchnl.live/memfs/47d19130-274d-443f-b757-b6165019fdb1.m3u8,Entertainment,,,,Entertainment,"indie,internet"
Deflect,https://rhine.webchnl.live/memfs/8a788628-af64-4fae-8dac-2fcb9d1c4eae.m3u8,Entertainment,,,,Entertainment,"indie,internet"
DIJIT / Joy.Rebel,https://rhine.webchnl.live/memfs/39c22a0a-ba5a-4cda-bb74-83108e8e3e69.m3u8,Music,,English,,Music,"music,indie"
DoneBetter,https://rhine.webchnl.live/memfs/a0277a2e-9e76-4060-9e07-5d6495e60a66.m3u8,Entertainment,,English,,Entertainment,"indie,internet"
flashBAK,https://rhine.webchnl.live/memfs/d839aad2-f86a-49d9-bef3-e7c4c2b8e9f0.m3u8,Entertainment,,English,,Entertainment,"retro,indie"
Nick GaS,https://rhine.webchnl.live/memfs/48e4dd44-3c78-4c9e-99c6-058604ab2962.m3u8,Kids,,English,,Kids,"kids,nickelodeon"
Object Central | HD,https://rhine.webchnl.live/memfs/dfac9472-bf8f-455c-8306-68184073a2f8.m3u8,Entertainment,,English,HD,Entertainment,"indie,internet"
ONR,https://rhine.webchnl.live/memfs/a1d25eab-0048-4698-b2c0-3c4ced3d2efc.m3u8,Entertainment,,English,,Entertainment,"indie,internet"
Placid,https://rhine.webchnl.live/memfs/7d25f0a4-6d46-4091-ba8e-63becd013d6d.m3u8,Lifestyle,,English,,Lifestyle,"relaxation,indie"
spark,https://rhine.webchnl.live/memfs/52b4200e-6ea9-4119-be31-0e73fa9c7d64.m3u8,Entertainment,,English,,Entertainment,"indie,internet"
quant,https://rhine.webchnl.live/memfs/52b4200e-6ea9-4119-be31-0e73fa9c7d64.m3u8,Entertainment,,English,,Entertainment,"indie,internet"
Whiplash,https://rhine.webchnl.live/memfs/ac0f016c-e39c-4fa5-885d-b90aec65b076.m3u8,Entertainment,,English,,Entertainment,"indie,internet"
Whiplash II,https://rhine.webchnl.live/memfs/86695e51-c500-4939-b3e8-73a2db21741d.m3u8,Entertainment,,English,,Entertainment,"indie,internet"
Whiplash Cinema,https://rhine.webchnl.live/memfs/3727506f-9e14-4f8e-af12-cdc8c597640c.m3u8,Movies,,English,,Movies,"movies,indie"
Yoyo,https://rhine.webchnl.live/memfs/242e59c8-1c7e-4c08-a9a8-e41b17f1ae17.m3u8,Kids,,English,,Kids,"kids,indie"
Window TV,https://rhine.webchnl.live/memfs/efa25eb0-b8b1-4b4a-896d-6ed932616fb6.m3u8,Lifestyle,,English,,Lifestyle,"ambient,indie"
Toonbox,https://rhine.webchnl.live/memfs/f4a9ef8b-521a-432e-87bf-c2bcebe9405a.m3u8,Kids,,English,,Kids,"cartoons,kids,indie"
wrongturn,https://rhine.webchnl.live/memfs/fa47748d-5612-444c-9051-b6a4c4aea99e.m3u8,Entertainment,,English,,Entertainment,"indie,internet"
12/5/25,https://rhine.webchnl.live/memfs/2ab14dcd-7307-4ae5-b66f-57c30cec655d.m3u8,Entertainment,,,,Entertainment,"indie,internet"
Yub Network,https://rhine.webchnl.live/memfs/f36a230a-2183-4d03-8278-29358f43fabe.m3u8,Entertainment,,English,,Entertainment,"indie,internet"
CSN,http://plyr.streamlinecsn.online/memfs/eda3c430-a21e-4ea7-87d6-68db49abbeaf.m3u8,Entertainment,,English,,Entertainment,"indie,internet"
